,home_team,away_team,home_win,year
22263,Austria,Sweden,1,2002
22264,Azerbaijan,Norway,-1,2002
22265,Croatia,Bosnia and Herzegovina,1,2002
22266,El Salvador,Colombia,-1,2002
22267,Faroe Islands,Czech Republic,-1,2002
22268,Germany,Portugal,-1,2002
22269,Iceland,Republic of Ireland,-1,2002
22270,South Korea,Kazakhstan,1,2002
22271,Latvia,Estonia,1,2002
22272,Liechtenstein,Romania,-1,2002
22273,Lithuania,North Macedonia,1,2002
22274,Netherlands,Belgium,1,2002
22275,Poland,Hungary,1,2002
22276,Slovenia,Greece,-1,2002
22277,Sri Lanka,Pakistan,1,2002
22278,Switzerland,Finland,-1,2002
22279,India,Bangladesh,1,2002
22280,Jamaica,Canada,1,2002
22281,Japan,Uzbekistan,1,2002
22282,Luxembourg,Cyprus,-1,2002
22283,Scotland,Belarus,1,2002
22284,United States,Costa Rica,1,2002
22285,Nepal,Sri Lanka,-1,2002
22286,Maldives,India,-1,2002
22287,Albania,Northern Ireland,1,2002
22288,Belarus,Austria,-1,2002
22289,Bosnia and Herzegovina,Slovenia,1,2002
22290,Brazil,Ecuador,1,2002
22291,Bulgaria,Russia,1,2002
22292,Chile,Argentina,-1,2002
22293,Colombia,Venezuela,1,2002
22294,Denmark,Croatia,1,2002
22295,England,Moldova,1,2002
22296,Georgia,Italy,-1,2002
22297,Germany,Armenia,1,2002
22298,Hungary,Azerbaijan,1,2002
22299,Lithuania,Republic of Ireland,-1,2002
22300,Norway,Switzerland,1,2002
22301,Paraguay,Bolivia,1,2002
22302,Peru,Uruguay,1,2002
22303,Romania,Iceland,1,2002
22304,San Marino,Turkey,-1,2002
22305,Slovakia,Serbia,-1,2002
22306,Sri Lanka,Maldives,-1,2002
22307,Sweden,Latvia,1,2002
22308,India,Pakistan,1,2002
22309,South Korea,Uzbekistan,1,2002
22310,United Arab Emirates,Kazakhstan,1,2002
22311,China PR,Iran,-1,2002
22312,India,Maldives,1,2002
22313,Pakistan,Sri Lanka,1,2002
22314,El Salvador,Canada,1,2002
22315,Indonesia,Tanzania,1,2002
22316,Jamaica,Costa Rica,1,2002
22317,Saudi Arabia,Kuwait,1,2002
22318,Iran,Saudi Arabia,-1,2002
22319,Qatar,Kuwait,-1,2002
